N;Aleat;PresqueTri ;PresqueTriDeb ;PresqueTriDebFin;PresqueTriFin;Aleat Bulles;PresqueTri Bulles;PresqueTriDeb Bulles;PresqueTriDebFin Bulles;PresqueTriFin Bulles;Aleat BullesOpti;PresqueTri BullesOpti;PresqueTriDeb BullesOpti;PresqueTriDebFin BullesOpti;PresqueTriFin BullesOpti;Aleat Peigne;PresqueTri Peigne;PresqueTriDeb Peigne;PresqueTriDebFin Peigne;PresqueTriFin Peigne;Aleat Insertion;PresqueTri Insertion;PresqueTriDeb Insertion;PresqueTriDebFin Insertion;PresqueTriFin Insertion;Aleat Rapide;PresqueTri Rapide;PresqueTriDeb Rapide;PresqueTriDebFin Rapide;PresqueTriFin Rapide;Aleat Cocktail;PresqueTri Cocktail;PresqueTriDeb Cocktail;PresqueTriDebFin Cocktail;PresqueTriFin Cocktail;Aleat PairImpair;PresqueTri PairImpair;PresqueTriDeb PairImpair;PresqueTriDebFin PairImpair;PresqueTriFin PairImpair;Aleat Comptage;PresqueTri Comptage;PresqueTriDeb Comptage;PresqueTriDebFin Comptage;PresqueTriFin Comptage;Aleat Base;PresqueTri Base;PresqueTriDeb Base;PresqueTriDebFin Base;PresqueTriFin Base;Aleat Shell;PresqueTri Shell;PresqueTriDeb Shell;PresqueTriDebFin Shell;PresqueTriFin Shell;Aleat FaireValoir;PresqueTri FaireValoir;PresqueTriDeb FaireValoir;PresqueTriDebFin FaireValoir;PresqueTriFin FaireValoir;Aleat Tas;PresqueTri Tas;PresqueTriDeb Tas;PresqueTriDebFin Tas;PresqueTriFin Tas
55;275;110;110;110;110;1485;1485;1485;1485;1485;1464;107;107;0;107;113;19;1;73;1;847;19;1;107;1;222;222;217;216;218;1696;212;212;318;212;1296;108;108;1566;108;55;55;55;55;55;275;110;110;110;110;136;20;1;3;1;29524;29524;29524;29524;29524;210;248;249;243;247
38;190;76;76;76;76;703;703;703;703;703;688;73;73;0;73;79;13;1;45;1;412;12;1;73;1;131;137;133;131;132;864;144;144;216;144;703;74;74;740;74;38;38;38;38;38;190;76;76;76;76;91;11;1;9;1;9841;9841;9841;9841;9841;140;152;150;144;150
12;60;24;24;24;24;66;66;66;66;66;65;21;21;0;21;12;4;1;17;1;45;3;1;21;1;17;27;24;23;25;100;40;40;60;40;66;22;22;77;22;12;12;12;12;12;60;24;24;24;24;14;4;1;21;1;364;364;364;364;364;26;27;30;24;28
55;275;110;110;110;110;1485;1485;1485;1485;1485;1430;107;107;0;107;111;15;1;73;1;691;21;1;107;1;176;222;217;216;218;1696;212;212;318;212;1404;108;108;1566;108;55;55;55;55;55;275;110;110;110;110;141;22;1;3;1;29524;29524;29524;29524;29524;220;242;249;243;247
48;240;96;96;96;96;1128;1128;1128;1128;1128;1050;93;93;0;93;103;17;1;17;1;522;16;1;93;1;137;190;182;181;183;1380;184;184;276;184;1175;94;94;1175;94;48;48;48;48;48;240;96;96;96;96;155;16;1;93;1;29524;29524;29524;29524;29524;183;206;208;202;206
47;235;94;94;94;94;1081;1081;1081;1081;1081;1066;91;91;0;91;95;14;1;37;1;517;13;1;91;1;168;183;177;176;177;1260;180;180;270;180;1104;92;92;1150;92;47;47;47;47;47;235;94;94;94;94;135;14;1;3;1;29524;29524;29524;29524;29524;185;200;203;197;201
13;65;26;26;26;26;78;78;78;78;78;75;23;23;0;23;21;6;1;9;1;38;5;1;23;1;33;30;27;26;28;88;44;44;66;44;84;24;24;96;24;13;13;13;13;13;65;26;26;26;26;23;3;1;3;1;364;364;364;364;364;27;31;33;29;31
30;150;60;60;60;60;435;435;435;435;435;357;57;57;0;57;39;11;1;37;1;231;10;1;57;1;97;101;93;92;94;504;112;112;168;112;435;58;58;464;58;30;30;30;30;30;150;60;60;60;60;68;9;1;9;1;9841;9841;9841;9841;9841;95;107;108;100;106
35;175;70;70;70;70;595;595;595;595;595;589;67;67;0;67;63;11;1;17;1;314;10;1;67;1;100;120;118;116;117;594;132;132;198;132;612;68;68;646;68;35;35;35;35;35;175;70;70;70;70;94;12;1;3;1;9841;9841;9841;9841;9841;119;133;133;129;133
57;285;114;114;114;114;1596;1596;1596;1596;1596;1505;111;111;0;111;120;13;1;85;1;686;22;1;111;1;195;242;227;226;228;1760;220;220;330;220;1344;112;112;1680;112;57;57;57;57;57;285;114;114;114;114;194;23;1;3;1;29524;29524;29524;29524;29524;228;258;259;255;257
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3025;220,4033252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1444;138,2282741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;29,8188798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3025;220,4033252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2304;185,8176485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2209;180,9569373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;33,34434165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
900;102,0359214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1225;124,4371822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3249;230,4539223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
